SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	April 02, 2020	April 01, 2020	March 31, 2020	March 30, 2020	March 27, 2020
Chinese yuan	0.1031930000	0.1030550000	0.1033050000	0.1028840000	0.1032380000
Euro	0.7986040000	0.8006390000	0.8027560000	0.8050670000	0.8037720000
Japanese yen	0.0068130000	0.0068052900	0.0067406500	0.0067840400	0.0067549200
U.K. pound	0.9113350000	0.9063560000	0.9056650000	0.9057190000	0.8946060000
U.S. dollar	0.7322610000	0.7321130000	0.7327090000	0.7296240000	0.7322330000
Algerian dinar		0.0058503100	0.0058820000	0.0058829400	0.0059016400
Australian dollar	0.4452880000	0.4483460000	0.4524480000	0.4487190000	0.4468090000
Botswana pula	0.0609973000	0.0611314000	0.0612545000	0.0610695000	0.0622398000
Brazilian real		0.1397190000	0.1409570000	0.1414330000	0.1432860000
Brunei dollar	0.5100730000	0.5139800000	0.5142900000	0.5116220000	0.5130920000
Canadian dollar		0.5149560000	0.5164650000	0.5154170000	0.5209400000
Chilean peso	0.0008477110	0.0008592570	0.0008657790	0.0008735610	0.0008758240
Colombian peso	0.0001794290	0.0001805660	0.0001802570	0.0001804750	0.0001832490
Czech koruna	0.0289580000	0.0292389000	0.0293753000	0.0294690000	0.0294318000
Danish krone	0.1069630000	0.1072650000	0.1075020000	0.1078210000	0.1077350000
Indian rupee		0.0097115400	0.0097194400	0.0096837600	0.0097835300
Israeli New Shekel	0.2017250000	0.2058810000	0.2055280000	0.2034650000	0.2035110000
Korean won	0.0005991340	0.0006000930	0.0005993040	0.0006018010	0.0005963300
Kuwaiti dinar			2.3746800000	2.3666000000	
Malaysian ringgit	0.1669540000	0.1691770000	0.1702980000	0.1674410000	0.1717650000
Mauritian rupee	0.0185431000	0.0185964000	0.0185970000	0.0185306000	0.0185930000
Mexican peso		0.0298922000	0.0311994000	0.0300439000	0.0311427000
New Zealand dollar	0.4343040000	0.4363390000	0.4394060000	0.4396710000	0.4360450000
Norwegian krone	0.0710850000	0.0710513000	0.0697439000	0.0688753000	0.0689589000
Omani rial		1.9040700000	1.9056200000	1.8975900000	
Peruvian sol		0.2119000000	0.2134310000	0.2126560000	0.2142910000
Philippine peso	0.0144197000	0.0144173000	0.0143545000	0.0143331000	0.0143367000
Polish zloty	0.1746930000	0.1755620000	0.1767010000	0.1782480000	0.1780420000
Qatari riyal	0.2011710000	0.2011300000	0.2012940000	0.2004460000	
Russian ruble			0.0094260300		0.0094199100
Saudi Arabian riyal	0.1952700000	0.1952300000	0.1953890000	0.1945660000	
Singapore dollar	0.5100730000	0.5139800000	0.5142900000	0.5116220000	0.5130920000
South African rand	0.0396824000	0.0406978000	0.0409542000	0.0408903000	0.0471832000
Swedish krona	0.0732276000	0.0734773000	0.0727103000	0.0733187000	0.0735380000
Swiss franc	0.7574460000	0.7583520000	0.7589690000	0.7632050000	0.7609200000
Thai baht	0.0221441000	0.0222405000	0.0224077000	0.0223379000	0.0225483000
Trinidadian dollar		0.1085630000			0.1081380000
U.A.E. dirham	0.1993900000	0.1993500000	0.1995120000	0.1986720000	
Uruguayan peso		0.0166378000	0.0170366000	0.0166775000	0.0166967000

Currency units per SDR(3)

Currency	April 02, 2020	April 01, 2020	March 31, 2020	March 30, 2020	March 27, 2020
Chinese yuan	9.690580	9.703560	9.680070	9.719680	9.686360
Euro	1.252190	1.249000	1.245710	1.242130	1.244130
Japanese yen	146.778000	146.945000	148.354000	147.405000	148.040000
U.K. pound	1.097290	1.103320	1.104160	1.104100	1.117810
U.S. dollar	1.365630	1.365910	1.364800	1.370570	1.365690
Algerian dinar		170.931000	170.010000	169.983000	169.444000
Australian dollar	2.245740	2.230420	2.210200	2.228570	2.238090
Botswana pula	16.394200	16.358200	16.325300	16.374800	16.066900
Brazilian real		7.157220	7.094360	7.070490	6.979050
Brunei dollar	1.960500	1.945600	1.944430	1.954570	1.948970
Canadian dollar		1.941910	1.936240	1.940180	1.919610
Chilean peso	1,179.650000	1,163.800000	1,155.030000	1,144.740000	1,141.780000
Colombian peso	5,573.240000	5,538.140000	5,547.630000	5,540.930000	5,457.060000
Czech koruna	34.532800	34.201000	34.042200	33.934000	33.976900
Danish krone	9.349030	9.322710	9.302150	9.274630	9.282030
Indian rupee		102.970000	102.887000	103.266000	102.213000
Israeli New Shekel	4.957240	4.857170	4.865520	4.914850	4.913740
Korean won	1,669.080000	1,666.410000	1,668.600000	1,661.680000	1,676.920000
Kuwaiti dinar			0.421109	0.422547	
Malaysian ringgit	5.989670	5.910970	5.872060	5.972250	5.821910
Mauritian rupee	53.928400	53.773800	53.772100	53.964800	53.783700
Mexican peso		33.453500	32.051900	33.284600	32.110300
New Zealand dollar	2.302530	2.291800	2.275800	2.274430	2.293340
Norwegian krone	14.067700	14.074300	14.338200	14.519000	14.501400
Omani rial		0.525191	0.524764	0.526984	
Peruvian sol		4.719210	4.685350	4.702430	4.666550
Philippine peso	69.349600	69.361100	69.664600	69.768600	69.751100
Polish zloty	5.724330	5.695990	5.659280	5.610160	5.616650
Qatari riyal	4.970900	4.971910	4.967860	4.988870	
Russian ruble			106.089000		106.158000
Saudi Arabian riyal	5.121110	5.122160	5.118000	5.139640	
Singapore dollar	1.960500	1.945600	1.944430	1.954570	1.948970
South African rand	25.200100	24.571400	24.417500	24.455700	21.194000
Swedish krona	13.656100	13.609600	13.753200	13.639100	13.598400
Swiss franc	1.320230	1.318650	1.317580	1.310260	1.314200
Thai baht	45.158800	44.963000	44.627500	44.767000	44.349200
Trinidadian dollar		9.211240			9.247440
U.A.E. dirham	5.015300	5.016300	5.012230	5.033420	
Uruguayan peso		60.104100	58.697200	59.961000	59.892100


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
